id,parent_id,data
1,,Developer
2,1.0,Flutter
3,1.0,UWP
4,1.0,React Native
5,1.0,Android Native
6,1.0,Web
7,2.0,Designing and Building Mobile Applications
8,2.0,State Management
9,2.0,API Integration
10,2.0,Testing
11,2.0,Debugging
12,2.0,Performance Optimization
13,2.0,Deployment
14,2.0,Maintaining Codebase
15,2.0,UI/UX Design
16,2.0,Adapting to Platform-Specific Features
17,2.0,Collaboration
18,2.0,Continuous Learning
19,7.0,Define requirements
20,7.0,Sketch initial design
21,7.0,Choose appropriate widgets
22,7.0,Implement navigation logic
23,7.0,Integrate functionalities
24,7.0,Test on multiple devices
25,8.0,Choose state management approach
26,8.0,Define mutable state
27,8.0,Implement provider or bloc pattern
28,8.0,Connect state to UI
29,8.0,Test state changes
30,8.0,Refactor for efficiency
31,9.0,Define API endpoints
32,9.0,Implement HTTP client
33,9.0,Parse JSON data
34,9.0,Handle errors and exceptions
35,9.0,Cache data
36,9.0,Implement pull-to-refresh
37,10.0,Write unit tests
38,10.0,Implement widget tests
39,10.0,Create integration tests
40,10.0,Run tests
41,10.0,Analyze results
42,10.0,Fix issues
43,11.0,Review logs
44,11.0,Use breakpoints
45,11.0,Inspect widget tree
46,11.0,Analyze performance
47,11.0,Identify memory leaks
48,11.0,Apply fixes
49,12.0,Profile app performance
50,12.0,Optimize images and assets
51,12.0,Minimize layout rebuilds
52,12.0,Use lazy loading
53,12.0,Implement caching
54,12.0,Optimize database queries
55,13.0,Configure app metadata
56,13.0,Build app for release
57,13.0,Sign app with a key
58,13.0,Test release build
59,13.0,Upload to app stores
60,13.0,Monitor app reviews
61,14.0,Use version control
62,14.0,Review pull requests
63,14.0,Refactor code for readability
64,14.0,Update dependencies
65,14.0,Document changes
66,14.0,Resolve merge conflicts
67,15.0,Collaborate with designers
68,15.0,Implement responsive design
69,15.0,Ensure accessibility
70,15.0,Test user flow
71,15.0,Incorporate feedback
72,15.0,Refine animations
73,16.0,Identify platform-specific capabilities
74,16.0,Implement platform channels
75,16.0,Customize UI per platform
76,16.0,Test on platform emulators
77,16.0,Integrate platform services
78,16.0,Optimize for platform performance
79,17.0,Attend planning meetings
80,17.0,Coordinate with team members
81,17.0,Use project management tools
82,17.0,Perform code reviews
83,17.0,Update progress regularly
84,17.0,Adapt based on feedback
85,18.0,Follow Flutter updates
86,18.0,Experiment with new widgets
87,18.0,Attend webinars and workshops
88,18.0,Participate in coding challenges
89,18.0,Read documentation
90,18.0,Contribute to open source
91,19.0,Jira
92,19.0,Trello
93,20.0,Figma
94,20.0,Sketch
95,21.0,Flutter SDK
96,21.0,DartPad
97,22.0,Flutter SDK
98,22.0,Android Studio
99,23.0,Visual Studio Code
100,23.0,Android Studio
101,24.0,Android Studio (emulator)
102,24.0,Xcode (simulator)
103,25.0,Documentation (official Flutter website)
104,25.0,Medium articles
105,26.0,Visual Studio Code
106,26.0,Android Studio
107,27.0,Flutter SDK
108,27.0,Visual Studio Code
109,28.0,Flutter SDK
110,28.0,Visual Studio Code
111,29.0,Dart DevTools
112,29.0,Flutter Testing Framework
113,30.0,Visual Studio Code
114,30.0,Android Studio
115,31.0,Swagger
116,31.0,Postman
117,32.0,Visual Studio Code
118,32.0,Flutter SDK
119,33.0,Visual Studio Code
120,33.0,Online JSON formatter tools
121,34.0,Visual Studio Code
122,34.0,Flutter DevTools
123,35.0,Visual Studio Code
124,35.0,SQLite Browser (for local storage)
125,36.0,Visual Studio Code
126,36.0,Flutter SDK
127,37.0,Visual Studio Code
128,37.0,Dart Test Package
129,38.0,Visual Studio Code
130,38.0,Flutter Test Framework
131,39.0,Flutter Integration Test Package
132,39.0,Android Studio
133,40.0,Terminal
134,40.0,Android Studio
135,41.0,Dart DevTools
136,41.0,Flutter DevTools
137,42.0,Visual Studio Code
138,42.0,Android Studio
139,43.0,Android Studio
140,43.0,Visual Studio Code
141,44.0,Android Studio
142,44.0,Visual Studio Code
143,45.0,Flutter Inspector
144,45.0,Dart DevTools
145,46.0,Flutter Performance view in DevTools
146,46.0,Android Profiler in Android Studio
147,47.0,Dart DevTools
148,47.0,Android Studio Profiler
149,48.0,Visual Studio Code
150,48.0,Android Studio
151,49.0,Flutter DevTools
152,49.0,Android Studio Profiler
153,50.0,ImageOptim
154,50.0,TinyPNG
155,51.0,Flutter DevTools
156,51.0,Visual Studio Code
157,52.0,Visual Studio Code
158,52.0,Flutter SDK
159,53.0,SQLite
160,53.0,SharedPreferences plugin for Flutter
161,54.0,SQLite Browser
162,54.0,Visual Studio Code
163,55.0,Android Studio
164,55.0,Xcode
165,56.0,Flutter command line
166,56.0,Android Studio
167,57.0,Keytool (JDK tool)
168,57.0,Xcode
169,58.0,TestFlight (iOS)
170,58.0,Google Play Console (Android)
171,59.0,Google Play Console
172,59.0,Apple Developer Console
173,60.0,Google Play Console
174,60.0,App Store Connect
175,61.0,Git
176,61.0,GitHub
177,62.0,GitHub
178,62.0,Bitbucket
179,63.0,Visual Studio Code
180,63.0,Android Studio
181,64.0,Pub.dev
182,64.0,Visual Studio Code
183,65.0,Markdown files in Git
184,65.0,Confluence
185,66.0,Git
186,66.0,Visual Studio Code
187,67.0,Zeplin
188,67.0,Figma
189,68.0,Flutter SDK
190,68.0,Visual Studio Code
191,69.0,Accessibility Scanner (Android)
192,69.0,Accessibility Inspector (iOS)
193,71.0,Jira
194,71.0,Slack
195,72.0,Adobe After Effects
196,72.0,Rive
197,73.0,Official Flutter documentation
198,73.0,Android & iOS documentation
199,74.0,Visual Studio Code
200,74.0,Android Studio
201,74.0,Xcode
202,75.0,Flutter SDK
203,75.0,Material Design widgets
204,76.0,Android Studio
205,76.0,Xcode
206,77.0,Firebase
207,77.0,Cloud Firestore
208,78.0,Android Studio Profiler
209,78.0,Xcode Instruments
210,79.0,Zoom
211,79.0,Microsoft Teams
212,80.0,Slack
213,80.0,Microsoft Teams
214,81.0,Jira
215,81.0,Asana
216,82.0,GitHub
217,82.0,GitLab
218,83.0,Trello
219,83.0,Monday.com
220,84.0,Google Docs
221,84.0,Notion
222,85.0,Official Flutter website
223,3.0,Designing and Building UWP Applications
224,3.0,Implementing XAML UI
225,3.0,Handling User Input
226,3.0,Data Binding and MVVM
227,3.0,Integrating with Windows 10 Features
228,3.0,Networking and Web Services
229,3.0,Database Management
230,3.0,Localization and Globalization
231,3.0,Testing and Debugging
232,3.0,Packaging and Deployment
233,3.0,Maintaining and Updating Applications
234,3.0,Performance Optimization
235,3.0,Collaboration with Team Members
236,3.0,Continuous Learning and Upgrading Skills
237,223.0,Define project scope
238,223.0,Sketch design mockups
239,223.0,Select controls and layouts
240,223.0,Implement UI
241,223.0,Add functionality
242,223.0,Test on Windows devices
243,224.0,Create XAML pages
244,224.0,Style controls
245,224.0,Implement data templates
246,224.0,Use animations
247,224.0,Optimize for different screen sizes
248,224.0,Apply adaptive triggers
249,225.0,Implement event handlers
250,225.0,Capture keyboard input
251,225.0,Manage pointer events
252,225.0,Integrate touch gestures
253,225.0,Use command patterns
254,225.0,Ensure accessibility standards
255,226.0,Implement MVVM pattern
256,226.0,Set up data binding
257,226.0,Use INotifyPropertyChanged
258,226.0,Create value converters
259,226.0,Handle data templates
260,226.0,Integrate with ViewModel
261,227.0,Utilize Windows 10 APIs
262,227.0,Implement live tiles
263,227.0,Use notifications
264,227.0,Integrate Cortana
265,227.0,Access device sensors
266,227.0,Incorporate Fluent Design System
267,228.0,Implement HTTP requests
268,228.0,Parse JSON/XML
269,228.0,Handle asynchronous operations
270,228.0,Use WebSockets
271,228.0,Secure data transmission
272,228.0,Integrate third-party APIs
273,229.0,Design data model
274,229.0,Implement Entity Framework Core
275,229.0,Use SQLite
276,229.0,Perform CRUD operations
277,229.0,Optimize queries
278,229.0,Manage database migrations
279,230.0,Implement resource files
280,230.0,Handle multiple languages
281,230.0,Format dates and numbers
282,230.0,Adapt layout for different cultures
283,230.0,Test localization
284,230.0,Ensure RTL support
285,231.0,Write unit tests
286,231.0,Implement UI tests
287,231.0,Use Visual Studio debugger
288,231.0,Analyze application logs
289,231.0,Profile performance
290,231.0,Fix identified bugs
291,232.0,Configure app manifest
292,232.0,Create app packages
293,232.0,Sign app package
294,232.0,Test app installation
295,232.0,Deploy to Microsoft Store
296,232.0,Update app listings
297,233.0,Monitor app performance
298,233.0,Collect user feedback
299,233.0,Implement new features
300,233.0,Address security updates
301,233.0,Refactor code
302,233.0,Update dependencies
303,234.0,Profile app performance
304,234.0,Optimize UI rendering
305,234.0,Minimize memory usage
306,234.0,Reduce startup time
307,234.0,Optimize data access
308,234.0,Implement background tasks efficiently
309,235.0,Use version control
310,235.0,Participate in code reviews
311,235.0,Use project management tools
312,235.0,Communicate effectively
313,235.0,Share knowledge
314,235.0,Adapt to feedback
315,236.0,Follow UWP updates
316,236.0,Experiment with new technologies
317,236.0,Attend developer conferences
318,236.0,Participate in community forums
319,236.0,Read technical blogs
320,236.0,Complete online courses
321,237.0,Microsoft OneNote
322,237.0,Microsoft Teams
323,238.0,Adobe XD
324,238.0,Sketch
325,238.0,Figma
326,239.0,Blend for Visual Studio
327,239.0,Visual Studio
328,240.0,Visual Studio
329,240.0,Blend for Visual Studio
330,241.0,Visual Studio
331,242.0,Windows Device Portal
332,242.0,Windows 10 Emulator in Visual Studio
333,243.0,Visual Studio
334,243.0,Blend for Visual Studio
335,244.0,Blend for Visual Studio
336,244.0,XAML Styler extension for Visual Studio
337,245.0,Visual Studio
338,246.0,Blend for Visual Studio
339,247.0,Visual Studio
340,247.0,Windows 10 Emulator
341,248.0,Visual Studio
342,249.0,Visual Studio
343,250.0,Visual Studio
344,251.0,Visual Studio
345,252.0,Visual Studio
346,252.0,Blend for Visual Studio
347,253.0,Visual Studio
348,254.0,Accessibility Insights for Windows
349,254.0,Visual Studio
350,255.0,Visual Studio with MVVM Light Toolkit or Prism
351,256.0,Visual Studio
352,257.0,Visual Studio
353,258.0,Visual Studio
354,259.0,Visual Studio
355,260.0,Visual Studio
356,261.0,Visual Studio
357,261.0,Windows SDK
358,262.0,Visual Studio
359,262.0,Windows SDK
360,263.0,Visual Studio
361,263.0,Windows SDK
362,264.0,Visual Studio
363,264.0,Cortana Skills Kit
364,265.0,Visual Studio
365,265.0,Windows SDK
366,265.0,Visual Studio
367,265.0,Windows SDK
368,266.0,Blend for Visual Studio
369,266.0,Visual Studio
370,267.0,Visual Studio
371,267.0,Postman
372,268.0,Visual Studio
373,268.0,JSON Formatter & Validator
374,269.0,Visual Studio
375,270.0,Visual Studio
376,271.0,Visual Studio
377,271.0,OpenSSL Toolkit
378,272.0,Visual Studio
379,272.0,Postman
380,273.0,Visual Studio
381,273.0,Entity Framework Core Tools
382,274.0,Visual Studio
383,275.0,SQLite Studio
384,275.0,Visual Studio
385,276.0,Visual Studio
386,277.0,Visual Studio
387,277.0,SQLite Studio
388,278.0,Visual Studio
389,278.0,Entity Framework Core Tools
390,91.0,id
391,91.0,key
392,91.0,fields
393,91.0,summary
394,91.0,status
395,91.0,priority
396,91.0,issuetype
397,91.0,project
398,91.0,created
399,91.0,updated
400,91.0,description
401,91.0,id
402,91.0,name
403,91.0,desc
404,91.0,closed
405,91.0,url
406,91.0,shortUrl
407,91.0,prefs
408,91.0,idBoard
409,91.0,pos
410,91.0,idList
411,91.0,due
412,91.0,labels
413,91.0,idMembers
414,91.0,idCard
415,91.0,checkItems
416,91.0,memberCreator
417,91.0,data
418,91.0,type
419,91.0,color
420,93.0,name
421,93.0,type
422,93.0,scrollBehavior
423,93.0,children
424,93.0,absoluteBoundingBox
425,93.0,absoluteRenderBounds
426,93.0,constraints
427,93.0,fills
428,93.0,strokes
429,93.0,strokeWeight
430,93.0,strokeAlign
431,93.0,styles
432,93.0,effects
433,93.0,arcData
434,93.0,background
435,177.0,number
436,177.0,state
437,177.0,title
438,177.0,user
439,177.0,body
440,177.0,created_at
441,177.0,updated_at
442,177.0,mergeable
443,177.0,merged
444,177.0,comments
445,177.0,number
446,177.0,merge_commit_sha
447,177.0,comments
448,177.0,review_comments
449,177.0,commits
450,177.0,additions
451,177.0,deletions
452,177.0,changed_files
453,177.0,id
454,177.0,path
455,177.0,position
456,177.0,line
457,177.0,commit_id
458,177.0,original_position
459,177.0,diff_hunk
460,177.0,message
461,177.0,sha
462,177.0,author
463,177.0,commit
464,177.0,message
465,177.0,url
466,177.0,comment_count
467,177.0,name
468,177.0,path
469,177.0,sha
470,177.0,size
471,177.0,url
472,177.0,content
473,177.0,encoding
474,177.0,id
475,177.0,repository
476,177.0,subject
477,177.0,reason
478,177.0,unread
479,177.0,updated_at
480,177.0,last_read_at
481,178.0,id
482,178.0,title
483,178.0,author
484,178.0,source
485,178.0,destination
486,178.0,state
487,178.0,created_on
488,178.0,updated_on
489,178.0,merge_commit
490,178.0,description
491,178.0,reviewers
492,178.0,participants
493,178.0,closed_by
494,178.0,content
495,178.0,user
496,178.0,links
497,178.0,name
498,178.0,target.hash
499,178.0,target.author.raw
500,178.0,target.date
501,178.0,hash
502,178.0,message
503,178.0,parents
504,178.0,diffstat
505,178.0,lines
506,178.0,type
507,178.0,uuid
508,178.0,events
509,178.0,url
510,178.0,active
511,184.0,id
512,184.0,title
513,184.0,type
514,184.0,version
515,184.0,body
516,184.0,space
517,184.0,history
518,184.0,links
519,184.0,status
520,184.0,lastModified
521,184.0,metadata
522,187.0,id
523,187.0,name
524,187.0,platform
525,187.0,created
526,187.0,updated
527,187.0,thumbnail_url
528,187.0,number_of_members
529,187.0,image
530,187.0,tags
531,187.0,density
532,187.0,width
533,187.0,height
534,187.0,status
535,187.0,componentSectionUuids
536,187.0,colorSectionUuids
537,187.0,textSectionUuids
538,187.0,description
539,187.0,linkedStyleguide
540,187.0,properties
541,187.0,assets
542,187.0,variants
543,187.0,thumbnail
544,187.0,colors
545,187.0,textStyles
546,187.0,spacingTokens
547,187.0,filename
548,187.0,image_type
549,187.0,scale
550,187.0,format
551,187.0,download_url
552,188.0,id
553,188.0,file_key
554,188.0,parent_id
555,188.0,user
556,188.0,created_at
557,188.0,resolved
558,188.0,id
559,188.0,name
560,188.0,files
561,193.0,id
562,193.0, key
563,193.0, fields
564,193.0, summary
565,193.0, description
566,193.0, status
567,193.0, assignee
568,193.0, reporter
569,193.0, priority
570,193.0, labels
571,193.0, created
572,193.0, updated
573,193.0, resolution
574,193.0, comments
575,193.0, author
576,193.0, body
577,193.0, issues
578,194.0,ok
579,194.0,channel
580,194.0,ts
581,194.0,message
582,194.0,user
583,194.0,text
584,194.0,type
585,194.0,files
586,194.0,file
